"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+006, +3.84680449893E+001, +0.00000000000E+000
+5.40000000000E+006, +3.84850737330E+001, +0.00000000000E+000
+5.80000000000E+006, +3.84986669154E+001, +0.00000000000E+000
+6.20000000000E+006, +3.85078155796E+001, +0.00000000000E+000
+6.60000000000E+006, +3.85084965975E+001, +0.00000000000E+000
+7.00000000000E+006, +3.85114804110E+001, +0.00000000000E+000
+7.40000000000E+006, +3.85149790244E+001, +0.00000000000E+000
+7.80000000000E+006, +3.85181567717E+001, +0.00000000000E+000
+8.20000000000E+006, +3.85208313414E+001, +0.00000000000E+000
+8.60000000000E+006, +3.85161192152E+001, +0.00000000000E+000
+9.00000000000E+006, +3.85119180755E+001, +0.00000000000E+000
+9.40000000000E+006, +3.85054609723E+001, +0.00000000000E+000
+9.80000000000E+006, +3.85025913757E+001, +0.00000000000E+000
+1.02000000000E+007, +3.84988080549E+001, +0.00000000000E+000
+1.06000000000E+007, +3.84953050588E+001, +0.00000000000E+000
+1.10000000000E+007, +3.84908020501E+001, +0.00000000000E+000
+1.14000000000E+007, +3.84927042117E+001, +0.00000000000E+000
+1.18000000000E+007, +3.84828300237E+001, +0.00000000000E+000
+1.22000000000E+007, +3.84755224614E+001, +0.00000000000E+000
+1.26000000000E+007, +3.84614163012E+001, +0.00000000000E+000
+1.30000000000E+007, +3.84576389363E+001, +0.00000000000E+000
+1.34000000000E+007, +3.84514078005E+001, +0.00000000000E+000
+1.38000000000E+007, +3.84484054157E+001, +0.00000000000E+000
+1.42000000000E+007, +3.84405272589E+001, +0.00000000000E+000
+1.46000000000E+007, +3.84300431387E+001, +0.00000000000E+000
+1.50000000000E+007, +3.84215782832E+001, +0.00000000000E+000
+1.54000000000E+007, +3.84164989363E+001, +0.00000000000E+000
+1.58000000000E+007, +3.84088987191E+001, +0.00000000000E+000
+1.62000000000E+007, +3.83982829819E+001, +0.00000000000E+000
+1.66000000000E+007, +3.83861377239E+001, +0.00000000000E+000
+1.70000000000E+007, +3.83763812781E+001, +0.00000000000E+000
+1.74000000000E+007, +3.83658581756E+001, +0.00000000000E+000
+1.78000000000E+007, +3.83571895584E+001, +0.00000000000E+000
+1.82000000000E+007, +3.83498895440E+001, +0.00000000000E+000
+1.86000000000E+007, +3.83440503082E+001, +0.00000000000E+000
+1.90000000000E+007, +3.83369786802E+001, +0.00000000000E+000
+1.94000000000E+007, +3.83348910907E+001, +0.00000000000E+000
+1.98000000000E+007, +3.83278635728E+001, +0.00000000000E+000
+2.02000000000E+007, +3.83226285274E+001, +0.00000000000E+000
+2.06000000000E+007, +3.83076922943E+001, +0.00000000000E+000
+2.10000000000E+007, +3.82994461656E+001, +0.00000000000E+000
+2.14000000000E+007, +3.82895696031E+001, +0.00000000000E+000
+2.18000000000E+007, +3.82813101741E+001, +0.00000000000E+000
+2.22000000000E+007, +3.82735243827E+001, +0.00000000000E+000
+2.26000000000E+007, +3.82625424403E+001, +0.00000000000E+000
+2.30000000000E+007, +3.82543932731E+001, +0.00000000000E+000
+2.34000000000E+007, +3.82407771271E+001, +0.00000000000E+000
+2.38000000000E+007, +3.82311308045E+001, +0.00000000000E+000
+2.42000000000E+007, +3.82225200843E+001, +0.00000000000E+000
+2.46000000000E+007, +3.82147628513E+001, +0.00000000000E+000
+2.50000000000E+007, +3.82095827226E+001, +0.00000000000E+000
+2.54000000000E+007, +3.82020405672E+001, +0.00000000000E+000
+2.58000000000E+007, +3.81964867711E+001, +0.00000000000E+000
+2.62000000000E+007, +3.81882276463E+001, +0.00000000000E+000
+2.66000000000E+007, +3.81822396113E+001, +0.00000000000E+000
+2.70000000000E+007, +3.81726937624E+001, +0.00000000000E+000
+2.74000000000E+007, +3.81610280143E+001, +0.00000000000E+000
+2.78000000000E+007, +3.81532312418E+001, +0.00000000000E+000
+2.82000000000E+007, +3.81451811395E+001, +0.00000000000E+000
+2.86000000000E+007, +3.81385738231E+001, +0.00000000000E+000
+2.90000000000E+007, +3.81290412822E+001, +0.00000000000E+000
+2.94000000000E+007, +3.81211111220E+001, +0.00000000000E+000
+2.98000000000E+007, +3.81136063807E+001, +0.00000000000E+000
+3.02000000000E+007, +3.81060739108E+001, +0.00000000000E+000
+3.06000000000E+007, +3.80983804682E+001, +0.00000000000E+000
+3.10000000000E+007, +3.80913366909E+001, +0.00000000000E+000
+3.14000000000E+007, +3.80782643722E+001, +0.00000000000E+000
+3.18000000000E+007, +3.80685255925E+001, +0.00000000000E+000
+3.22000000000E+007, +3.80576673787E+001, +0.00000000000E+000
+3.26000000000E+007, +3.80484008784E+001, +0.00000000000E+000
+3.30000000000E+007, +3.80400920389E+001, +0.00000000000E+000
+3.34000000000E+007, +3.80287678745E+001, +0.00000000000E+000
+3.38000000000E+007, +3.80244196218E+001, +0.00000000000E+000
+3.42000000000E+007, +3.80173641621E+001, +0.00000000000E+000
+3.46000000000E+007, +3.80125065417E+001, +0.00000000000E+000
+3.50000000000E+007, +3.80099516525E+001, +0.00000000000E+000
+3.54000000000E+007, +3.79989286434E+001, +0.00000000000E+000
+3.58000000000E+007, +3.79950797018E+001, +0.00000000000E+000
+3.62000000000E+007, +3.79866886921E+001, +0.00000000000E+000
+3.66000000000E+007, +3.79822432856E+001, +0.00000000000E+000
+3.70000000000E+007, +3.79768473792E+001, +0.00000000000E+000
+3.74000000000E+007, +3.79671641771E+001, +0.00000000000E+000
+3.78000000000E+007, +3.79600817573E+001, +0.00000000000E+000
+3.82000000000E+007, +3.79521397244E+001, +0.00000000000E+000
+3.86000000000E+007, +3.79478095768E+001, +0.00000000000E+000
+3.90000000000E+007, +3.79421143878E+001, +0.00000000000E+000
+3.94000000000E+007, +3.79329157047E+001, +0.00000000000E+000
+3.98000000000E+007, +3.79230670499E+001, +0.00000000000E+000
+4.02000000000E+007, +3.79186800022E+001, +0.00000000000E+000
+4.06000000000E+007, +3.79145625064E+001, +0.00000000000E+000
+4.10000000000E+007, +3.79042575933E+001, +0.00000000000E+000
+4.14000000000E+007, +3.78973097779E+001, +0.00000000000E+000
+4.18000000000E+007, +3.78874848045E+001, +0.00000000000E+000
+4.22000000000E+007, +3.78814295369E+001, +0.00000000000E+000
+4.26000000000E+007, +3.78689707148E+001, +0.00000000000E+000
+4.30000000000E+007, +3.78594828498E+001, +0.00000000000E+000
+4.34000000000E+007, +3.78529658000E+001, +0.00000000000E+000
+4.38000000000E+007, +3.78476894421E+001, +0.00000000000E+000
+4.42000000000E+007, +3.78387652703E+001, +0.00000000000E+000
+4.46000000000E+007, +3.78312969813E+001, +0.00000000000E+000
+4.50000000000E+007, +3.78244349825E+001, +0.00000000000E+000
+4.54000000000E+007, +3.78156575600E+001, +0.00000000000E+000
+4.58000000000E+007, +3.78083091107E+001, +0.00000000000E+000
+4.62000000000E+007, +3.77947653111E+001, +0.00000000000E+000
+4.66000000000E+007, +3.77886489565E+001, +0.00000000000E+000
+4.70000000000E+007, +3.77767816551E+001, +0.00000000000E+000
+4.74000000000E+007, +3.77704742274E+001, +0.00000000000E+000
+4.78000000000E+007, +3.77596713785E+001, +0.00000000000E+000
+4.82000000000E+007, +3.77527208216E+001, +0.00000000000E+000
+4.86000000000E+007, +3.77438065223E+001, +0.00000000000E+000
