"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+006, +2.43172735552E+001, +0.00000000000E+000
+5.11250000000E+006, +2.43152428702E+001, +0.00000000000E+000
+5.22500000000E+006, +2.43571159709E+001, +0.00000000000E+000
+5.33750000000E+006, +2.43613670860E+001, +0.00000000000E+000
+5.45000000000E+006, +2.43671767970E+001, +0.00000000000E+000
+5.56250000000E+006, +2.43808370029E+001, +0.00000000000E+000
+5.67500000000E+006, +2.43966994611E+001, +0.00000000000E+000
+5.78750000000E+006, +2.43973963073E+001, +0.00000000000E+000
+5.90000000000E+006, +2.43855705432E+001, +0.00000000000E+000
+6.01250000000E+006, +2.43743078515E+001, +0.00000000000E+000
+6.12500000000E+006, +2.43700896203E+001, +0.00000000000E+000
+6.23750000000E+006, +2.43640395577E+001, +0.00000000000E+000
+6.35000000000E+006, +2.43543284631E+001, +0.00000000000E+000
+6.46250000000E+006, +2.43422215203E+001, +0.00000000000E+000
+6.57500000000E+006, +2.43347862579E+001, +0.00000000000E+000
+6.68750000000E+006, +2.43303053056E+001, +0.00000000000E+000
+6.80000000000E+006, +2.43349499141E+001, +0.00000000000E+000
+6.91250000000E+006, +2.43436408125E+001, +0.00000000000E+000
+7.02500000000E+006, +2.43513456074E+001, +0.00000000000E+000
+7.13750000000E+006, +2.43568209593E+001, +0.00000000000E+000
+7.25000000000E+006, +2.43652206523E+001, +0.00000000000E+000
+7.36250000000E+006, +2.43781932236E+001, +0.00000000000E+000
+7.47500000000E+006, +2.43897249280E+001, +0.00000000000E+000
+7.58750000000E+006, +2.43968375161E+001, +0.00000000000E+000
+7.70000000000E+006, +2.43983724596E+001, +0.00000000000E+000
+7.81250000000E+006, +2.43922854357E+001, +0.00000000000E+000
+7.92500000000E+006, +2.43856208604E+001, +0.00000000000E+000
+8.03750000000E+006, +2.43804905457E+001, +0.00000000000E+000
+8.15000000000E+006, +2.43718547452E+001, +0.00000000000E+000
+8.26250000000E+006, +2.43644742666E+001, +0.00000000000E+000
+8.37500000000E+006, +2.43567746372E+001, +0.00000000000E+000
+8.48750000000E+006, +2.43547260567E+001, +0.00000000000E+000
+8.60000000000E+006, +2.43588140573E+001, +0.00000000000E+000
+8.71250000000E+006, +2.43663654797E+001, +0.00000000000E+000
+8.82500000000E+006, +2.43722533739E+001, +0.00000000000E+000
+8.93750000000E+006, +2.43704849425E+001, +0.00000000000E+000
+9.05000000000E+006, +2.43656190616E+001, +0.00000000000E+000
+9.16250000000E+006, +2.43645324017E+001, +0.00000000000E+000
+9.27500000000E+006, +2.43730445976E+001, +0.00000000000E+000
+9.38750000000E+006, +2.43820272175E+001, +0.00000000000E+000
+9.50000000000E+006, +2.43817613963E+001, +0.00000000000E+000
+9.61250000000E+006, +2.43753676456E+001, +0.00000000000E+000
+9.72500000000E+006, +2.43702364195E+001, +0.00000000000E+000
+9.83750000000E+006, +2.43673516149E+001, +0.00000000000E+000
+9.95000000000E+006, +2.43672417427E+001, +0.00000000000E+000
+1.00625000000E+007, +2.43611338606E+001, +0.00000000000E+000
+1.01750000000E+007, +2.43570893026E+001, +0.00000000000E+000
+1.02875000000E+007, +2.43591556245E+001, +0.00000000000E+000
+1.04000000000E+007, +2.43614649516E+001, +0.00000000000E+000
+1.05125000000E+007, +2.43624217811E+001, +0.00000000000E+000
+1.06250000000E+007, +2.43602111573E+001, +0.00000000000E+000
+1.07375000000E+007, +2.43510008369E+001, +0.00000000000E+000
+1.08500000000E+007, +2.43353509204E+001, +0.00000000000E+000
+1.09625000000E+007, +2.43237571224E+001, +0.00000000000E+000
+1.10750000000E+007, +2.43134027675E+001, +0.00000000000E+000
+1.11875000000E+007, +2.43044902518E+001, +0.00000000000E+000
+1.13000000000E+007, +2.43000402311E+001, +0.00000000000E+000
+1.14125000000E+007, +2.43059325350E+001, +0.00000000000E+000
+1.15250000000E+007, +2.43180395628E+001, +0.00000000000E+000
+1.16375000000E+007, +2.43314167073E+001, +0.00000000000E+000
+1.17500000000E+007, +2.43364536294E+001, +0.00000000000E+000
+1.18625000000E+007, +2.43364925586E+001, +0.00000000000E+000
+1.19750000000E+007, +2.43408669003E+001, +0.00000000000E+000
+1.20875000000E+007, +2.43472800773E+001, +0.00000000000E+000
+1.22000000000E+007, +2.43478448878E+001, +0.00000000000E+000
+1.23125000000E+007, +2.43445528172E+001, +0.00000000000E+000
+1.24250000000E+007, +2.43407978641E+001, +0.00000000000E+000
+1.25375000000E+007, +2.43389019970E+001, +0.00000000000E+000
+1.26500000000E+007, +2.43371201829E+001, +0.00000000000E+000
+1.27625000000E+007, +2.43289093585E+001, +0.00000000000E+000
+1.28750000000E+007, +2.43187327099E+001, +0.00000000000E+000
+1.29875000000E+007, +2.43099058250E+001, +0.00000000000E+000
+1.31000000000E+007, +2.42989225777E+001, +0.00000000000E+000
+1.32125000000E+007, +2.42865232826E+001, +0.00000000000E+000
+1.33250000000E+007, +2.42748367747E+001, +0.00000000000E+000
+1.34375000000E+007, +2.42701211461E+001, +0.00000000000E+000
