"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+006, +2.37020565374E+001, +0.00000000000E+000
+5.47500000000E+006, +2.37121805489E+001, +0.00000000000E+000
+5.95000000000E+006, +2.37162460589E+001, +0.00000000000E+000
+6.42500000000E+006, +2.37265920223E+001, +0.00000000000E+000
+6.90000000000E+006, +2.37308968486E+001, +0.00000000000E+000
+7.37500000000E+006, +2.37360564511E+001, +0.00000000000E+000
+7.85000000000E+006, +2.37384484685E+001, +0.00000000000E+000
+8.32500000000E+006, +2.37400733318E+001, +0.00000000000E+000
+8.80000000000E+006, +2.37432757481E+001, +0.00000000000E+000
+9.27500000000E+006, +2.37451355683E+001, +0.00000000000E+000
+9.75000000000E+006, +2.37435760222E+001, +0.00000000000E+000
+1.02250000000E+007, +2.37413015550E+001, +0.00000000000E+000
+1.07000000000E+007, +2.37406419042E+001, +0.00000000000E+000
+1.11750000000E+007, +2.37349221955E+001, +0.00000000000E+000
+1.16500000000E+007, +2.37290866116E+001, +0.00000000000E+000
+1.21250000000E+007, +2.37258412773E+001, +0.00000000000E+000
+1.26000000000E+007, +2.37216164986E+001, +0.00000000000E+000
+1.30750000000E+007, +2.37152785655E+001, +0.00000000000E+000
+1.35500000000E+007, +2.37043953121E+001, +0.00000000000E+000
+1.40250000000E+007, +2.36942240422E+001, +0.00000000000E+000
+1.45000000000E+007, +2.36793921266E+001, +0.00000000000E+000
+1.49750000000E+007, +2.36638716471E+001, +0.00000000000E+000
+1.54500000000E+007, +2.36498887835E+001, +0.00000000000E+000
+1.59250000000E+007, +2.36366683085E+001, +0.00000000000E+000
+1.64000000000E+007, +2.36211617746E+001, +0.00000000000E+000
+1.68750000000E+007, +2.36034627509E+001, +0.00000000000E+000
+1.73500000000E+007, +2.35868720077E+001, +0.00000000000E+000
+1.78250000000E+007, +2.35711962372E+001, +0.00000000000E+000
+1.83000000000E+007, +2.35554803796E+001, +0.00000000000E+000
+1.87750000000E+007, +2.35393343740E+001, +0.00000000000E+000
+1.92500000000E+007, +2.35246944702E+001, +0.00000000000E+000
+1.97250000000E+007, +2.35130307103E+001, +0.00000000000E+000
+2.02000000000E+007, +2.34955641535E+001, +0.00000000000E+000
+2.06750000000E+007, +2.34760055203E+001, +0.00000000000E+000
+2.11500000000E+007, +2.34570744867E+001, +0.00000000000E+000
+2.16250000000E+007, +2.34395738505E+001, +0.00000000000E+000
+2.21000000000E+007, +2.34199392377E+001, +0.00000000000E+000
+2.25750000000E+007, +2.34011129673E+001, +0.00000000000E+000
+2.30500000000E+007, +2.33842838577E+001, +0.00000000000E+000
+2.35250000000E+007, +2.33636094922E+001, +0.00000000000E+000
+2.40000000000E+007, +2.33429622661E+001, +0.00000000000E+000
+2.44750000000E+007, +2.33227146051E+001, +0.00000000000E+000
+2.49500000000E+007, +2.33048388270E+001, +0.00000000000E+000
+2.54250000000E+007, +2.32842581761E+001, +0.00000000000E+000
+2.59000000000E+007, +2.32584302642E+001, +0.00000000000E+000
+2.63750000000E+007, +2.32402692593E+001, +0.00000000000E+000
+2.68500000000E+007, +2.32128360533E+001, +0.00000000000E+000
+2.73250000000E+007, +2.31878592155E+001, +0.00000000000E+000
+2.78000000000E+007, +2.31606101531E+001, +0.00000000000E+000
+2.82750000000E+007, +2.31351472939E+001, +0.00000000000E+000
+2.87500000000E+007, +2.31111173882E+001, +0.00000000000E+000
+2.92250000000E+007, +2.30833146529E+001, +0.00000000000E+000
+2.97000000000E+007, +2.30586668300E+001, +0.00000000000E+000
+3.01750000000E+007, +2.30359471025E+001, +0.00000000000E+000
+3.06500000000E+007, +2.30037471898E+001, +0.00000000000E+000
+3.11250000000E+007, +2.29824505943E+001, +0.00000000000E+000
+3.16000000000E+007, +2.29571996025E+001, +0.00000000000E+000
+3.20750000000E+007, +2.29336463811E+001, +0.00000000000E+000
+3.25500000000E+007, +2.29041939403E+001, +0.00000000000E+000
+3.30250000000E+007, +2.28770552975E+001, +0.00000000000E+000
+3.35000000000E+007, +2.28493865688E+001, +0.00000000000E+000
+3.39750000000E+007, +2.28233440365E+001, +0.00000000000E+000
+3.44500000000E+007, +2.27899404268E+001, +0.00000000000E+000
+3.49250000000E+007, +2.27669325141E+001, +0.00000000000E+000
+3.54000000000E+007, +2.27359187034E+001, +0.00000000000E+000
+3.58750000000E+007, +2.27066310902E+001, +0.00000000000E+000
